<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAM,20220826,11.1437,11.661,11.1437,11.4729,45600
AAM,20220825,11.3318,11.5199,11.2848,11.4729,4100
AAM,20220824,11.4246,11.5657,11.2836,11.3318,3600
AAM,20220823,11.3318,11.4729,11.2848,11.4729,5000
AAM,20220822,11.4717,11.7067,11.2366,11.3318,38500
AAM,20220819,11.4729,11.661,11.3318,11.4729,4200
AAM,20220818,11.5669,11.5669,11.2848,11.4729,11900
AAM,20220817,11.2848,11.5669,11.2848,11.5199,18400
AAM,20220816,11.2366,11.6127,11.2366,11.3788,7700
AAM,20220815,11.4246,11.4717,11.2836,11.3318,7000
AAM,20220812,11.6127,11.6127,11.2836,11.3318,9000
AAM,20220811,11.5669,11.661,11.2848,11.2848,37500
AAM,20220810,11.3776,11.5657,11.2366,11.5669,12200
AAM,20220809,11.6597,11.6597,11.3306,11.3788,15000
AAM,20220808,11.4259,11.5669,11.1908,11.5199,22300
AAM,20220805,11.4729,11.5669,11.1437,11.4259,11900
AAM,20220804,11.1908,11.661,11.1908,11.4729,18900
AAM,20220803,10.6735,11.2378,10.6735,11.1908,12600
AAM,20220802,11.0015,11.1896,11.0015,11.0967,12200
AAM,20220801,11.0027,11.1908,11.0027,11.0027,19200
AAM,20220729,11.0027,11.1908,11.0027,11.1908,8300
AAM,20220728,11.0027,11.2378,11.0027,11.0027,24300
AAM,20220727,10.9557,11.0497,10.9557,11.0027,7400
AAM,20220726,11.0027,11.0967,10.8616,11.0027,4700
AAM,20220725,11.0027,11.2848,10.9086,11.0027,14700
AAM,20220722,11.2378,11.4259,11.1908,11.2848,13100
AAM,20220721,11.3776,11.4717,11.2836,11.3788,15600
AAM,20220720,11.3776,11.5657,11.3306,11.3788,29200
AAM,20220719,11.2836,11.3776,11.0015,11.3788,49100
AAM,20220718,11.0967,11.2848,10.7206,11.0027,8300
AAM,20220715,10.9086,11.2848,10.9086,11.1908,2300
AAM,20220714,11.0967,11.3318,10.6735,11.2848,5500
AAM,20220713,11.0485,11.2836,10.9545,11.1437,17100
AAM,20220712,10.8146,11.3318,10.8146,11.1908,14600
AAM,20220711,10.9557,11.1437,10.6735,10.7676,17300
AAM,20220708,10.8135,10.8135,10.4373,10.6265,8500
AAM,20220707,11.0967,11.4729,10.6265,10.8146,17000
AAM,20220706,10.6254,11.0955,10.6254,11.0967,16200
AAM,20220705,11.1426,11.1426,9.9672,10.8616,9100
AAM,20220704,10.4843,11.1896,10.4843,10.6735,4300
AAM,20220701,10.7676,11.0027,10.4384,10.4855,7600
AAM,20220630,10.8605,11.1426,10.8135,10.8616,12000
AAM,20220629,11.1437,11.1437,10.8616,11.0497,6100
AAM,20220628,11.1896,11.1896,10.8605,11.0967,25900
AAM,20220627,11.3318,11.3318,10.6735,11.1908,1500
AAM,20220624,10.6724,11.3306,10.6724,11.3318,13700
AAM,20220623,11.0027,11.2848,10.3914,11.2848,20900
AAM,20220622,11.1896,11.2836,10.7194,10.9086,13200
AAM,20220621,10.2493,11.3776,10.2493,11.3318,13500
AAM,20220620,10.6724,11.3776,10.0612,10.8616,32300
AAM,20220617,11.2366,11.2366,10.6254,10.6735,25700
AAM,20220616,11.1437,11.5669,11.1437,11.4259,10900
AAM,20220615,11.5199,11.5199,11.0967,11.1908,36000
AAM,20220614,10.2974,11.6139,10.2504,11.5199,19100
AAM,20220613,11.5187,11.5187,10.8605,10.9086,38700
AAM,20220610,11.4729,11.8961,11.3788,11.661,14100
AAM,20220609,12.2239,12.2239,11.2836,11.5669,24400
AAM,20220608,11.5669,12.2252,11.3788,11.755,26900
AAM,20220607,11.6597,11.8948,11.1896,11.5669,60200
AAM,20220606,12.412,12.506,11.7067,11.802,20200
AAM,20220603,12.6,13.0702,12.2239,12.5073,29200
AAM,20220602,12.1782,12.6014,11.9901,12.6014,76600
AAM,20220601,11.4717,11.8478,11.3776,11.802,45100
AAM,20220531,11.6127,11.6597,11.5187,11.6139,29000
AAM,20220530,11.6597,11.6597,11.4246,11.6139,18000
AAM,20220527,11.661,11.708,11.4729,11.661,16400
AAM,20220526,11.708,11.755,11.4729,11.4729,26400
AAM,20220525,10.8146,11.755,10.8146,11.708,58600
AAM,20220524,11.7067,11.7067,10.7194,11.3318,11500
AAM,20220523,11.7538,11.7538,11.2836,11.3318,15900
AAM,20220520,11.3306,11.7067,11.3306,11.3788,13700
AAM,20220519,11.5199,11.755,11.0967,11.661,9900
AAM,20220518,12.2239,12.2239,11.3306,11.6139,30600
AAM,20220517,11.2836,11.6127,10.9075,11.6139,59800
AAM,20220516,11.2836,11.6597,10.5314,11.6139,34600
AAM,20220513,11.2836,11.7538,10.9075,10.9086,61700
AAM,20220512,11.849,12.4133,11.2848,11.2848,22500
AAM,20220511,13.1656,13.1656,11.755,11.755,33900
AAM,20220510,11.2848,12.6484,11.0497,12.4603,32000
AAM,20220509,12.2239,12.6,11.7538,11.849,84000
AAM,20220506,13.2596,13.2596,12.5073,12.6014,33400
AAM,20220505,14.1045,14.1045,13.1642,13.2596,17100
AAM,20220504,14.1045,14.3866,13.1642,13.4477,37200
AAM,20220429,14.012,14.5762,13.1186,14.106,21800
AAM,20220428,13.2596,14.012,13.2596,14.012,43200
AAM,20220427,13.2582,13.2582,12.506,13.2596,25700
AAM,20220426,12.2722,12.4133,12.2722,12.4133,103800
AAM,20220425,13.1656,14.106,13.1656,13.1656,115500
AAM,20220422,14.1515,14.7627,14.1515,14.153,189100
AAM,20220421,15.3755,15.3755,15.1875,15.1875,48600
AAM,20220420,16.6433,16.6433,15.609,16.3159,212800
AAM,20220419,15.4209,15.562,15.4209,15.5636,105600
AAM,20220418,13.9179,14.5762,13.7298,14.5762,214200
AAM,20220415,13.6828,13.6828,13.2596,13.6358,24500
AAM,20220414,13.7754,13.8224,13.3523,13.4477,14100
AAM,20220413,13.5418,14.059,12.6484,13.3537,17600
AAM,20220412,13.6828,14.059,13.1186,13.5418,63200
AAM,20220408,13.3537,14.3881,13.3537,14.059,65000
AAM,20220407,14.3881,14.3881,13.8239,13.8239,25600
AAM,20220406,14.106,14.2941,13.6358,14.106,71500
AAM,20220405,14.4351,14.4351,13.6358,14.012,30500
AAM,20220404,14.5762,14.5762,14.106,14.2941,48800
AAM,20220401,14.2,14.2,13.6828,14.012,53700
AAM,20220331,14.6702,14.7643,13.8239,14.2471,78000
AAM,20220330,14.9978,15.2799,14.5276,14.6232,66300
AAM,20220329,15.7047,15.7047,15.0464,15.2815,116600
AAM,20220328,14.1515,15.1388,14.1045,14.8583,342900
AAM,20220325,14.4336,14.4336,13.5403,14.153,63500
AAM,20220324,14.2926,14.4806,14.1985,14.4351,64300
AAM,20220323,14.2,14.6702,14.2,14.2941,92400
AAM,20220322,14.3866,14.3866,14.0105,14.2,39700
AAM,20220321,14.106,14.5762,13.9179,14.2941,120500
AAM,20220318,13.8709,15.1404,13.8709,14.4822,87400
AAM,20220317,15.5166,15.5166,14.5292,14.8113,48700
AAM,20220316,14.1045,16.1732,14.1045,15.6106,193700
AAM,20220315,15.4209,15.75,15.1388,15.1404,34700
AAM,20220314,18.0067,18.0067,15.703,16.2689,168900
AAM,20220311,16.6451,16.8332,16.6451,16.8332,147100
AAM,20220310,15.7517,15.7517,15.7047,15.7517,148800
AAM,20220309,13.8239,14.7643,12.9775,14.7643,131000
AAM,20220308,14.2,14.2,13.8239,13.8239,182700
AAM,20220307,12.4603,13.3067,12.4603,13.3067,115100
AAM,20220304,12.3663,12.4603,11.9431,12.4603,58000
AAM,20220303,11.849,12.6484,11.708,12.3663,49000
AAM,20220302,11.8478,11.8478,11.5187,11.849,24600
AAM,20220301,11.5669,11.755,11.4729,11.661,8900
AAM,20220228,11.8478,11.8478,11.3306,11.802,6200
AAM,20220225,11.0015,11.8478,11.0015,11.849,5800
AAM,20220224,11.8478,11.8478,11.5187,11.6139,5300
AAM,20220223,11.6597,11.8478,11.3306,11.849,15200
AAM,20220222,11.7538,11.8478,11.2836,11.802,19600
AAM,20220221,11.708,11.802,11.661,11.661,6000
AAM,20220218,11.661,11.849,11.661,11.708,42700
AAM,20220217,11.755,11.849,11.4729,11.4729,13900
AAM,20220216,11.661,11.755,11.4729,11.755,21200
AAM,20220215,11.1437,11.755,11.1437,11.661,1100
AAM,20220214,11.849,11.849,11.3788,11.755,7300
AAM,20220211,11.3318,11.849,11.2848,11.755,9300
AAM,20220210,12.0371,12.0371,11.5669,11.9431,2000
AAM,20220209,11.802,12.0841,11.5669,11.9901,8900
AAM,20220208,11.7067,11.8008,11.5657,11.802,6700
AAM,20220207,11.661,11.755,11.661,11.708,3700
AAM,20220128,11.661,12.1782,11.5199,11.661,2200
AAM,20220127,11.661,11.661,11.661,11.661,3300
AAM,20220126,11.2848,11.9431,11.2848,11.661,13200
AAM,20220125,11.661,11.849,11.0027,11.1908,2500
AAM,20220124,11.2848,11.755,11.2848,11.708,7100
AAM,20220121,11.3306,11.8478,11.3306,11.802,2900
AAM,20220120,10.9557,11.849,10.9557,11.2848,7900
AAM,20220119,10.9075,12.2239,10.9075,11.802,6800
AAM,20220118,12.1312,12.1312,11.2848,11.661,14200
AAM,20220117,11.755,12.2252,11.755,11.755,17800
AAM,20220114,11.4729,11.755,11.4729,11.708,4900
AAM,20220113,11.5669,12.1312,11.0967,11.661,8700
AAM,20220112,11.8478,11.8478,11.6597,11.849,9900
AAM,20220111,11.8948,11.9418,11.8478,11.849,17100
AAM,20220110,12.6484,12.6484,11.9431,12.2252,34800
AAM,20220107,11.755,11.9431,11.755,11.8961,40300
AAM,20220106,11.6597,11.8478,11.6597,11.802,26100
AAM,20220105,11.802,11.9431,11.661,11.661,24700
AAM,20220104,11.849,12.0371,11.755,11.755,12700
AAM,20211231,12.506,12.506,11.8008,11.849,14600
AAM,20211230,11.7538,12.0358,11.5657,11.802,8700
AAM,20211229,11.0015,11.8478,11.0015,11.6139,22300
AAM,20211228,11.849,11.9431,11.661,11.661,34300
AAM,20211227,11.7538,11.8478,11.7538,11.849,12300
AAM,20211224,11.5199,11.849,11.4729,11.755,10400
AAM,20211223,12.0371,12.2252,11.4729,11.5199,12900
AAM,20211222,12.1299,12.1299,11.8478,12.0371,6900
AAM,20211221,12.4133,12.4133,11.849,12.1312,17300
AAM,20211220,11.6139,11.849,11.5669,11.755,23500
AAM,20211217,11.7538,11.7538,11.5657,11.5669,29000
AAM,20211216,12.0371,12.0371,11.661,11.755,8600
AAM,20211215,11.755,11.755,11.6139,11.661,11500
AAM,20211214,11.849,11.849,11.5199,11.755,11200
AAM,20211213,11.8948,11.9418,11.8008,11.849,24100
AAM,20211210,11.849,12.1312,11.849,11.8961,18800
AAM,20211209,11.6597,12.0358,11.6597,11.849,13800
AAM,20211208,11.5669,12.0371,11.5669,11.661,26800
AAM,20211207,11.661,12.0371,11.2848,11.4729,57900
AAM,20211206,11.661,12.2252,11.661,11.661,19000
AAM,20211203,11.849,12.0371,11.5669,11.661,24600
AAM,20211202,12.506,12.506,12.0358,12.0371,11200
AAM,20211201,11.661,12.1312,11.661,11.8961,13600
AAM,20211130,12.4133,12.6014,11.9901,12.2252,15600
AAM,20211129,12.6954,12.6954,11.8961,12.6484,12900
AAM,20211126,12.0371,12.7894,12.0371,12.6954,52100
AAM,20211125,12.412,12.412,11.8478,12.0371,14100
AAM,20211124,12.2239,12.3179,12.0358,12.3192,32400
AAM,20211123,12.0371,12.2252,11.849,12.2252,17900
AAM,20211122,11.8478,12.6941,11.8478,12.0371,17500
AAM,20211119,13.0716,13.1656,12.6954,12.6954,74900
AAM,20211118,12.6484,13.2596,11.849,13.1656,85100
AAM,20211117,12.6014,12.6954,12.2252,12.6484,27000
